Index	Name	Description	File Name	Quantity
23.3.1	596CMSZN		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/Protex 95-637SS spring loaded handle.FCStd	1
23.3.2	Moulded Sleeve 89MM X 15MM		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/Protex 95-637SS spring loaded handle.FCStd	1
23.4	596-7SS IN ASSEMBLY		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/Protex 95-637SS spring loaded handle.FCStd	1
23.5	637-1MSZN IN ASSEMBLY		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/Protex 95-637SS spring loaded handle.FCStd	1
23.6	637-1MSZN IN ASSEMBLY001		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/Protex 95-637SS spring loaded handle.FCStd	1
24	637DSS		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/Protex 637DSS Handle Backing Plate Stainless Steel (Natural).FCStd	2
25	brace		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical RAD/OCT-CHBRA-AB.FCStd	8
26	hinge fastener group		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	8
26.1	M6-Washer		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
26.2	M6-Nut		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
26.3	M6-Washer		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
26.4	M6x16-Screw		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
27	handle		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/mechanical COTS/WDS 8520-251 Handle.FCStd	1
28	lid handle fastener group		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	2
28.1	M6-Washer		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
28.2	M6x14-Screw		/home/delta-v/Documents/GitHub/OctoForge/Design/Mechanical/OctoForge.FCStd	1
